Country ID,Country Name,PA Category,# PAs,Mean area of PAs,Area of largest PA,Name of largest PA,Year of establ. Of largest PA
0,Democratic Republic of the Congo,ALL,38,6344.2,43684.69,Bassin de la Lufira,2017
0,Democratic Republic of the Congo,Ia,1,2246.07,2246.07,Yangambi,0
0,Democratic Republic of the Congo,Ib,1,6589.92,6589.92,Bomu,0
0,Democratic Republic of the Congo,II,18,8515.09,43684.69,Bassin de la Lufira,2017
0,Democratic Republic of the Congo,VI,18,4387.33,33009.74,Bili-Uere,0
1,Afghanistan,ALL,9,668.39,3022.95,Hamoun,1968
1,Afghanistan,Ia,4,364.94,517.98,Тигровая балка,1938
1,Afghanistan,II,1,597.99,597.99,Band-e-Amir,2009
1,Afghanistan,IV,3,311.6,482.16,Даштиджумский,1972
1,Afghanistan,V,1,3022.95,3022.95,Hamoun,1968
3,Åland,ALL,2,287.74,523.43,Saaristomeren kansallispuisto,1982
3,Åland,II,1,523.43,523.43,Saaristomeren kansallispuisto,1982
3,Åland,VI,1,52.05,52.05,Björkörs naturskyddsområde,0
4,Albania,ALL,63,114.89,871.44,Liqeni I Ulzes,2013
4,Albania,Ia,2,60.4,102.76,Lumi i Gashit,1996
4,Albania,II,17,190.39,735.79,Mavrovo,1949
4,Albania,III,10,49.15,247.6,Ohridsko Ezero,1977
4,Albania,IV,23,75.83,871.44,Liqeni I Ulzes,2013
4,Albania,V,4,171.19,252.83,Mali me Gropa-Bize-Martanesh,2007
4,Albania,VI,7,137.19,324.13,Ethniko Parko limnon Mikris kai Megalis Prespas,2009
5,Algeria,ALL,4,25121.0,99331.43,Parc Culturel du Tassili (Illizi),1972
5,Algeria,II,4,25121.0,99331.43,Parc Culturel du Tassili (Illizi),1972
6,American Samoa,ALL,14,5045.01,35438.81,National Marine Sanctuary of American Samoa,1986
6,American Samoa,Ia,2,79.53,158.62,Rose Atoll,1973
6,American Samoa,V,12,5872.59,35438.81,National Marine Sanctuary of American Samoa,1986
7,Andorra,ALL,12,469.09,2456.06,Pyrénées ariégeoises,2009
7,Andorra,IV,6,15.96,28.13,Vedat de caça de Ransol,2000
7,Andorra,V,5,1098.46,2456.06,Pyrénées ariégeoises,2009
7,Andorra,VI,1,41.03,41.03,Vall del Madriu-Perafita-Claror,2013
8,Angola,ALL,15,7018.83,16906.22,Skeleton Coast Park,1973
8,Angola,II,10,8961.26,16906.22,Skeleton Coast Park,1973
8,Angola,IV,3,4818.01,8791.46,Integral Nature Reserve and the Luando,1957
8,Angola,V,1,215.62,215.62,Natural Regional Park Chimalavera,1974
8,Angola,VI,1,1000.23,1000.23,Swa-Kibula,1951
10,Antarctica,ALL,8,36.78,214.43,Larsemann Hills,2014
10,Antarctica,Ia,8,36.78,214.43,Larsemann Hills,2014
11,Antigua and Barbuda,ALL,5,25.75,67.25,Codrington Lagoon,2005
11,Antigua and Barbuda,III,1,0.35,0.35,Greencastle,2008
11,Antigua and Barbuda,V,1,1.0,1.0,Devli's Bridge,2008
11,Antigua and Barbuda,VI,3,42.46,67.25,Codrington Lagoon,2005
12,Argentina,ALL,335,853.34,38922.4,Bernardo O'Higgins,1969
12,Argentina,Ia,17,446.8,6842.29,La Payunia,1982
12,Argentina,Ib,2,321.71,493.48,Isla de Los Estados,2016
12,Argentina,II,90,1158.96,38922.4,Bernardo O'Higgins,1969
12,Argentina,III,14,88.73,383.14,Abra del Acay,1995
12,Argentina,IV,33,442.04,4202.99,Laguna Brava,1980
12,Argentina,V,20,538.22,5626.83,Quebrada de Humahuaca,2000
12,Argentina,VI,159,922.84,27776.92,De la Vicuña,1993
13,Armenia,ALL,39,174.13,1512.35,Sevan,1978
13,Armenia,Ia,4,100.45,228.96,Khosrov Forest,1958
13,Armenia,II,6,509.36,1512.35,Sevan,1978
13,Armenia,IV,29,114.93,944.17,Kiamaky,1975
15,Australia,ALL,10845,260.97,505518.27,Coral Sea,2012
15,Australia,Ia,2559,63.91,25035.21,Great Victoria Desert,1970
15,Australia,Ib,76,595.38,9018.95,Nullarbor,2014
15,Australia,II,1135,903.52,505518.27,Coral Sea,2012
15,Australia,III,2413,37.1,66966.39,Birriliburu,2013
15,Australia,IV,2894,121.21,290730.0,Coral Sea,2012
15,Australia,V,355,223.8,24279.11,Wilinggin,2013
15,Australia,VI,1413,761.61,214901.48,Great Barrier Reef,2004
16,Austria,ALL,1245,28.37,2307.18,"LSG ""Bayerischer Wald""",2001
16,Austria,Ia,3,0.61,0.91,Ruggeller Riet,1991
16,Austria,Ib,1,9.22,9.22,Garsaelli,2001
16,Austria,II,13,274.95,805.14,Hohe Tauern,1984
16,Austria,III,150,0.25,18.89,Horní Malše,2014
16,Austria,IV,700,9.38,537.63,Karwendel,1989
16,Austria,V,375,63.69,2307.18,"LSG ""Bayerischer Wald""",2001
16,Austria,VI,3,413.82,950.32,Biosphärenpark Wienerwald,2008
17,Azerbaijan,ALL,54,257.71,1203.44,Shahdagh National Park,2006
17,Azerbaijan,Ia,12,174.55,500.41,Gizilaghaj State Nature Reserve,1929
17,Azerbaijan,II,10,365.77,1203.44,Shahdagh National Park,2006
17,Azerbaijan,III,1,2.05,2.05,Alazani flood plane forests,2003
17,Azerbaijan,IV,29,216.0,944.17,Kiamaky,1975
17,Azerbaijan,V,2,948.91,1042.73,Marakan,1967
18,Bahamas,ALL,8,23.18,135.09,Blue Holes National Park,2002
18,Bahamas,Ia,1,0.01,0.01,Black Sound Cay National Park,1988
18,Bahamas,Ib,1,0.4,0.4,Rand Nature Center,1992
18,Bahamas,II,5,37.0,135.09,Blue Holes National Park,2002
18,Bahamas,III,1,0.05,0.05,The Retreat,1977
